system:index,Count,DOY,Year,.geo,,,,,,,,,,,,,,,,,,,,,
1_37,15,136.5461529,2005,,,,,,,,,,,,,,,,,,,,,,
1_38,10,139.6702909,2005,,,,,,,,,,,,,,,,,,,,,,
1_39,3,142.656272,2005,,,,,,,,,,,,,,,,,,,,,,
1_40,5,145.3458512,2005,,,,,,,,,,,,,,,,,,,,,,
1_41,2,147.1632719,2005,,,,,,,,,,,,,,,,,,,,,,
2_0,2,31.93422777,2006,,,,,,,,,,,,,,,,,,,,,,
2_1,0,34.5,2006,,,,,,,,,,,,,,,,,,,,,,
2_2,0,37.5,2006,,,,,,,,,,,,,,,,,,,,,,
2_3,2,39.49512208,2006,,,,,,,,,,,,,,,,,,,,,,
2_4,3,43.64609326,2006,,,,,,,,,,,,,,,,,,,,,,
2_5,6,47.04356053,2006,,,,,,,,,,,,,,,,,,,,,,
2_6,19,49.91820459,2006,,,,,,,,,,,,,,,,,,,,,,
2_7,39,52.86376892,2006,,,,,,,,,,,,,,,,,,,,,,
2_8,58,55.63232343,2006,,,,,,,,,,,,,,,,,,,,,,
2_9,98,58.66875862,2006,,,,,,,,,,,,,,,,,,,,,,
2_10,166.2352941,61.62510296,2006,,,,,,,,,,,,,,,,,,,,,,
2_11,233,64.66886802,2006,,,,,,,,,,,,,,,,,,,,,,
2_12,319,67.5324547,2006,,,,,,,,,,,,,,,,,,,,,,
2_13,398,70.60884885,2006,,,,,,,,,,,,,,,,,,,,,,
2_14,443.2980392,73.51951822,2006,,,,,,,,,,,,,,,,,,,,,,
2_15,434,76.56179602,2006,,,,,,,,,,,,,,,,,,,,,,
2_16,487,79.50626093,2006,,,,,,,,,,,,,,,,,,,,,,
2_17,482.0313725,82.44149607,2006,,,,,,,,,,,,,,,,,,,,,,
2_18,412,85.48516523,2006,,,,,,,,,,,,,,,,,,,,,,
2_19,427.372549,88.45710794,2006,,,,,,,,,,,,,,,,,,,,,,
2_20,456.1254902,91.46417966,2006,,,,,,,,,,,,,,,,,,,,,,
2_21,416,94.52015787,2006,,,,,,,,,,,,,,,,,,,,,,
2_22,365,97.43844354,2006,,,,,,,,,,,,,,,,,,,,,,
2_23,295.9686275,100.5093551,2006,,,,,,,,,,,,,,,,,,,,,,
2_24,241,103.4429629,2006,,,,,,,,,,,,,,,,,,,,,,
2_25,162,106.422265,2006,,,,,,,,,,,,,,,,,,,,,,
2_26,140,109.4865137,2006,,,,,,,,,,,,,,,,,,,,,,
2_27,99,112.3585579,2006,,,,,,,,,,,,,,,,,,,,,,
2_28,85,115.294025,2006,,,,,,,,,,,,,,,,,,,,,,
2_29,69,118.4912361,2006,,,,,,,,,,,,,,,,,,,,,,
2_30,48,121.4718908,2006,,,,,,,,,,,,,,,,,,,,,,
2_31,29,124.7490585,2006,,,,,,,,,,,,,,,,,,,,,,
2_32,24,127.2114364,2006,,,,,,,,,,,,,,,,,,,,,,
2_33,24,130.6336161,2006,,,,,,,,,,,,,,,,,,,,,,
2_34,19,133.2855723,2006,,,,,,,,,,,,,,,,,,,,,,
2_35,16,136.438359,2006,,,,,,,,,,,,,,,,,,,,,,
2_36,11,139.2115934,2006,,,,,,,,,,,,,,,,,,,,,,
2_37,9,142.4020707,2006,,,,,,,,,,,,,,,,,,,,,,
2_38,7,145.1320301,2006,,,,,,,,,,,,,,,,,,,,,,
2_39,5,148.1506172,2006,,,,,,,,,,,,,,,,,,,,,,
3_0,1,27.5188749,2007,,,,,,,,,,,,,,,,,,,,,,
3_1,1,32.67832634,2007,,,,,,,,,,,,,,,,,,,,,,
3_2,0,34.5,2007,,,,,,,,,,,,,,,,,,,,,,
3_3,1,38.40818517,2007,,,,,,,,,,,,,,,,,,,,,,
3_4,3,40.15086575,2007,,,,,,,,,,,,,,,,,,,,,,
3_5,5,43.6809828,2007,,,,,,,,,,,,,,,,,,,,,,
3_6,6,46.84680916,2007,,,,,,,,,,,,,,,,,,,,,,
3_7,20,49.89201037,2007,,,,,,,,,,,,,,,,,,,,,,
3_8,29,52.88387155,2007,,,,,,,,,,,,,,,,,,,,,,
3_9,39,55.6850288,2007,,,,,,,,,,,,,,,,,,,,,,
3_10,93,58.58191494,2007,,,,,,,,,,,,,,,,,,,,,,
3_11,152,61.70570575,2007,,,,,,,,,,,,,,,,,,,,,,
3_12,182,64.63856227,2007,,,,,,,,,,,,,,,,,,,,,,
3_13,264,67.56144881,2007,,,,,,,,,,,,,,,,,,,,,,
3_14,296,70.55784576,2007,,,,,,,,,,,,,,,,,,,,,,
3_15,358.172549,73.51219708,2007,,,,,,,,,,,,,,,,,,,,,,
3_16,348.6235294,76.60128109,2007,,,,,,,,,,,,,,,,,,,,,,
3_17,404,79.51324564,2007,,,,,,,,,,,,,,,,,,,,,,
3_18,393,82.50637589,2007,,,,,,,,,,,,,,,,,,,,,,
3_19,353,85.45869675,2007,,,,,,,,,,,,,,,,,,,,,,
3_20,383.2627451,88.44063971,2007,,,,,,,,,,,,,,,,,,,,,,
3_21,405.2980392,91.4589779,2007,,,,,,,,,,,,,,,,,,,,,,
3_22,393,94.47831986,2007,,,,,,,,,,,,,,,,,,,,,,
3_23,317,97.41958438,2007,,,,,,,,,,,,,,,,,,,,,,
3_24,290.5764706,100.4334374,2007,,,,,,,,,,,,,,,,,,,,,,
3_25,223,103.3745054,2007,,,,,,,,,,,,,,,,,,,,,,
3_26,159.9058824,106.4497357,2007,,,,,,,,,,,,,,,,,,,,,,
3_27,153,109.5150745,2007,,,,,,,,,,,,,,,,,,,,,,
3_28,96,112.2463368,2007,,,,,,,,,,,,,,,,,,,,,,
3_29,84,115.3308948,2007,,,,,,,,,,,,,,,,,,,,,,
3_30,64,118.4673332,2007,,,,,,,,,,,,,,,,,,,,,,
3_31,46,121.4336356,2007,,,,,,,,,,,,,,,,,,,,,,
3_32,23,124.9385822,2007,,,,,,,,,,,,,,,,,,,,,,
3_33,29,127.2131917,2007,,,,,,,,,,,,,,,,,,,,,,
3_34,21,130.3692527,2007,,,,,,,,,,,,,,,,,,,,,,
3_35,14,133.1134144,2007,,,,,,,,,,,,,,,,,,,,,,
3_36,15,136.7251604,2007,,,,,,,,,,,,,,,,,,,,,,
3_37,10,139.4128534,2007,,,,,,,,,,,,,,,,,,,,,,
3_38,6,142.3154161,2007,,,,,,,,,,,,,,,,,,,,,,
3_39,8,145.4061272,2007,,,,,,,,,,,,,,,,,,,,,,
3_40,4,148.5250806,2007,,,,,,,,,,,,,,,,,,,,,,
4_0,1,38.40818517,2008,,,,,,,,,,,,,,,,,,,,,,
4_1,1,39.21951136,2008,,,,,,,,,,,,,,,,,,,,,,
4_2,4,43.34830344,2008,,,,,,,,,,,,,,,,,,,,,,
4_3,5,47.23767954,2008,,,,,,,,,,,,,,,,,,,,,,
4_4,22,49.63161853,2008,,,,,,,,,,,,,,,,,,,,,,
4_5,25,52.72644689,2008,,,,,,,,,,,,,,,,,,,,,,
4_6,42,55.77374042,2008,,,,,,,,,,,,,,,,,,,,,,
4_7,74,58.67455159,2008,,,,,,,,,,,,,,,,,,,,,,
4_8,125,61.54065111,2008,,,,,,,,,,,,,,,,,,,,,,
4_9,161,64.57414618,2008,,,,,,,,,,,,,,,,,,,,,,
4_10,212,67.57883928,2008,,,,,,,,,,,,,,,,,,,,,,
4_11,217,70.47462422,2008,,,,,,,,,,,,,,,,,,,,,,
4_12,268.2980392,73.54005304,2008,,,,,,,,,,,,,,,,,,,,,,
4_13,311,76.71957542,2008,,,,,,,,,,,,,,,,,,,,,,
4_14,342,79.51029345,2008,,,,,,,,,,,,,,,,,,,,,,
4_15,324.0313725,82.42261035,2008,,,,,,,,,,,,,,,,,,,,,,
4_16,315,85.44818052,2008,,,,,,,,,,,,,,,,,,,,,,
4_17,351,88.44610026,2008,,,,,,,,,,,,,,,,,,,,,,
4_18,355.1254902,91.45722658,2008,,,,,,,,,,,,,,,,,,,,,,
4_19,297,94.49456034,2008,,,,,,,,,,,,,,,,,,,,,,
4_20,294,97.39848896,2008,,,,,,,,,,,,,,,,,,,,,,
4_21,245,100.3994251,2008,,,,,,,,,,,,,,,,,,,,,,
4_22,181,103.445711,2008,,,,,,,,,,,,,,,,,,,,,,
4_23,136,106.4349926,2008,,,,,,,,,,,,,,,,,,,,,,
4_24,117,109.4457126,2008,,,,,,,,,,,,,,,,,,,,,,
4_25,80,112.3853265,2008,,,,,,,,,,,,,,,,,,,,,,
4_26,79,115.1774102,2008,,,,,,,,,,,,,,,,,,,,,,
4_27,56,118.4858064,2008,,,,,,,,,,,,,,,,,,,,,,
4_28,50,121.3070936,2008,,,,,,,,,,,,,,,,,,,,,,
4_29,29,124.597316,2008,,,,,,,,,,,,,,,,,,,,,,
4_30,28,126.9496419,2008,,,,,,,,,,,,,,,,,,,,,,
4_31,18,130.2256292,2008,,,,,,,,,,,,,,,,,,,,,,
4_32,8,133.5576733,2008,,,,,,,,,,,,,,,,,,,,,,
4_33,6,136.6008194,2008,,,,,,,,,,,,,,,,,,,,,,
4_34,3,139.1881349,2008,,,,,,,,,,,,,,,,,,,,,,
4_35,7,142.6107858,2008,,,,,,,,,,,,,,,,,,,,,,
4_36,3,144.8806832,2008,,,,,,,,,,,,,,,,,,,,,,
4_37,5,148.1035689,2008,,,,,,,,,,,,,,,,,,,,,,
5_0,1,27.5188749,2009,,,,,,,,,,,,,,,,,,,,,,
5_1,1,32.67832634,2009,,,,,,,,,,,,,,,,,,,,,,
5_2,0,34.5,2009,,,,,,,,,,,,,,,,,,,,,,
5_3,0,37.5,2009,,,,,,,,,,,,,,,,,,,,,,
5_4,1,39.21951136,2009,,,,,,,,,,,,,,,,,,,,,,
5_5,3,44.61235764,2009,,,,,,,,,,,,,,,,,,,,,,
5_6,6,45.98668224,2009,,,,,,,,,,,,,,,,,,,,,,
5_7,16,49.48392747,2009,,,,,,,,,,,,,,,,,,,,,,
5_8,29,52.80213754,2009,,,,,,,,,,,,,,,,,,,,,,
5_9,49,55.41365189,2009,,,,,,,,,,,,,,,,,,,,,,
5_10,69,58.54820783,2009,,,,,,,,,,,,,,,,,,,,,,
5_11,114,61.71265743,2009,,,,,,,,,,,,,,,,,,,,,,
5_12,145,64.53017617,2009,,,,,,,,,,,,,,,,,,,,,,
5_13,227,67.51921319,2009,,,,,,,,,,,,,,,,,,,,,,
5_14,281,70.53945633,2009,,,,,,,,,,,,,,,,,,,,,,
5_15,304.1254902,73.58147759,2009,,,,,,,,,,,,,,,,,,,,,,
5_16,317,76.6278107,2009,,,,,,,,,,,,,,,,,,,,,,
5_17,328,79.52445109,2009,,,,,,,,,,,,,,,,,,,,,,
5_18,356.0313725,82.47216793,2009,,,,,,,,,,,,,,,,,,,,,,
5_19,343,85.52269268,2009,,,,,,,,,,,,,,,,,,,,,,
5_20,383,88.46561295,2009,,,,,,,,,,,,,,,,,,,,,,
5_21,339,91.45699146,2009,,,,,,,,,,,,,,,,,,,,,,
5_22,347,94.4621446,2009,,,,,,,,,,,,,,,,,,,,,,
5_23,317,97.39419103,2009,,,,,,,,,,,,,,,,,,,,,,
5_24,282,100.4594829,2009,,,,,,,,,,,,,,,,,,,,,,
5_25,217,103.4502204,2009,,,,,,,,,,,,,,,,,,,,,,
5_26,152.9058824,106.4754601,2009,,,,,,,,,,,,,,,,,,,,,,
5_27,137,109.4046562,2009,,,,,,,,,,,,,,,,,,,,,,
5_28,94,112.3299916,2009,,,,,,,,,,,,,,,,,,,,,,
5_29,86,115.2678866,2009,,,,,,,,,,,,,,,,,,,,,,
5_30,48,118.5985596,2009,,,,,,,,,,,,,,,,,,,,,,
5_31,44,121.3383127,2009,,,,,,,,,,,,,,,,,,,,,,
5_32,25,124.6850363,2009,,,,,,,,,,,,,,,,,,,,,,
5_33,33,127.0511971,2009,,,,,,,,,,,,,,,,,,,,,,
5_34,26,130.2534672,2009,,,,,,,,,,,,,,,,,,,,,,
5_35,12,132.9216369,2009,,,,,,,,,,,,,,,,,,,,,,
5_36,11,136.565844,2009,,,,,,,,,,,,,,,,,,,,,,
5_37,8,139.6887219,2009,,,,,,,,,,,,,,,,,,,,,,
5_38,7,142.8876482,2009,,,,,,,,,,,,,,,,,,,,,,
5_39,3,145.524352,2009,,,,,,,,,,,,,,,,,,,,,,
5_40,6,148.3691903,2009,,,,,,,,,,,,,,,,,,,,,,
6_0,2,39.69356969,2010,,,,,,,,,,,,,,,,,,,,,,
6_1,1,43.52979503,2010,,,,,,,,,,,,,,,,,,,,,,
6_2,3,46.81730191,2010,,,,,,,,,,,,,,,,,,,,,,
6_3,15,49.92059417,2010,,,,,,,,,,,,,,,,,,,,,,
6_4,25,52.92042776,2010,,,,,,,,,,,,,,,,,,,,,,
6_5,45,55.70986259,2010,,,,,,,,,,,,,,,,,,,,,,
6_6,87,58.66403808,2010,,,,,,,,,,,,,,,,,,,,,,
6_7,130,61.60642805,2010,,,,,,,,,,,,,,,,,,,,,,
6_8,186,64.56189669,2010,,,,,,,,,,,,,,,,,,,,,,
6_9,247,67.47745682,2010,,,,,,,,,,,,,,,,,,,,,,
6_10,284,70.60668995,2010,,,,,,,,,,,,,,,,,,,,,,
6_11,332,73.56503771,2010,,,,,,,,,,,,,,,,,,,,,,
6_12,338,76.61042942,2010,,,,,,,,,,,,,,,,,,,,,,
6_13,399,79.53161072,2010,,,,,,,,,,,,,,,,,,,,,,
6_14,400,82.46771413,2010,,,,,,,,,,,,,,,,,,,,,,
6_15,350,85.53578867,2010,,,,,,,,,,,,,,,,,,,,,,
6_16,409,88.50254439,2010,,,,,,,,,,,,,,,,,,,,,,
6_17,375,91.4264206,2010,,,,,,,,,,,,,,,,,,,,,,
6_18,372,94.45191737,2010,,,,,,,,,,,,,,,,,,,,,,
6_19,320,97.40932821,2010,,,,,,,,,,,,,,,,,,,,,,
6_20,275,100.4702618,2010,,,,,,,,,,,,,,,,,,,,,,
6_21,216,103.4919819,2010,,,,,,,,,,,,,,,,,,,,,,
6_22,151,106.4374795,2010,,,,,,,,,,,,,,,,,,,,,,
6_23,144,109.385942,2010,,,,,,,,,,,,,,,,,,,,,,
6_24,107,112.3121376,2010,,,,,,,,,,,,,,,,,,,,,,
6_25,94,115.2944201,2010,,,,,,,,,,,,,,,,,,,,,,
6_26,56,118.5241306,2010,,,,,,,,,,,,,,,,,,,,,,
6_27,52,121.4373499,2010,,,,,,,,,,,,,,,,,,,,,,
6_28,31,124.6948891,2010,,,,,,,,,,,,,,,,,,,,,,
6_29,34,127.2130345,2010,,,,,,,,,,,,,,,,,,,,,,
6_30,23,130.2302133,2010,,,,,,,,,,,,,,,,,,,,,,
6_31,14,133.1126595,2010,,,,,,,,,,,,,,,,,,,,,,
6_32,16,136.6901304,2010,,,,,,,,,,,,,,,,,,,,,,
6_33,11,139.8842454,2010,,,,,,,,,,,,,,,,,,,,,,
6_34,7,142.9679682,2010,,,,,,,,,,,,,,,,,,,,,,
6_35,5,145.3399934,2010,,,,,,,,,,,,,,,,,,,,,,
6_36,2,148.0051092,2010,,,,,,,,,,,,,,,,,,,,,,
7_0,2,32.55448608,2011,,,,,,,,,,,,,,,,,,,,,,
7_1,0,34.5,2011,,,,,,,,,,,,,,,,,,,,,,
7_2,1,38.40818517,2011,,,,,,,,,,,,,,,,,,,,,,
7_3,3,40.36244578,2011,,,,,,,,,,,,,,,,,,,,,,
7_4,5,43.9303214,2011,,,,,,,,,,,,,,,,,,,,,,
7_5,5,47.06753318,2011,,,,,,,,,,,,,,,,,,,,,,
7_6,17,49.83878895,2011,,,,,,,,,,,,,,,,,,,,,,
7_7,35,52.94792137,2011,,,,,,,,,,,,,,,,,,,,,,
7_8,45,55.62942095,2011,,,,,,,,,,,,,,,,,,,,,,
7_9,84,58.64723985,2011,,,,,,,,,,,,,,,,,,,,,,
7_10,139,61.62954354,2011,,,,,,,,,,,,,,,,,,,,,,
7_11,163,64.5253899,2011,,,,,,,,,,,,,,,,,,,,,,
7_12,217,67.4700087,2011,,,,,,,,,,,,,,,,,,,,,,
7_13,284,70.52896624,2011,,,,,,,,,,,,,,,,,,,,,,
7_14,319,73.46196112,2011,,,,,,,,,,,,,,,,,,,,,,
7_15,313,76.641761,2011,,,,,,,,,,,,,,,,,,,,,,
7_16,369,79.57104724,2011,,,,,,,,,,,,,,,,,,,,,,
7_17,375,82.45187294,2011,,,,,,,,,,,,,,,,,,,,,,
7_18,345,85.50745632,2011,,,,,,,,,,,,,,,,,,,,,,
7_19,363,88.49872636,2011,,,,,,,,,,,,,,,,,,,,,,
7_20,350.1254902,91.40707869,2011,,,,,,,,,,,,,,,,,,,,,,
7_21,358,94.44449052,2011,,,,,,,,,,,,,,,,,,,,,,
7_22,325,97.40933749,2011,,,,,,,,,,,,,,,,,,,,,,
7_23,273,100.4125284,2011,,,,,,,,,,,,,,,,,,,,,,
7_24,206,103.4268182,2011,,,,,,,,,,,,,,,,,,,,,,
7_25,158,106.4088506,2011,,,,,,,,,,,,,,,,,,,,,,
7_26,136,109.3651894,2011,,,,,,,,,,,,,,,,,,,,,,
7_27,99,112.3962638,2011,,,,,,,,,,,,,,,,,,,,,,
7_28,96,115.319557,2011,,,,,,,,,,,,,,,,,,,,,,
7_29,69,118.3727657,2011,,,,,,,,,,,,,,,,,,,,,,
7_30,43,121.3628089,2011,,,,,,,,,,,,,,,,,,,,,,
7_31,31,124.4790704,2011,,,,,,,,,,,,,,,,,,,,,,
7_32,30,127.2260433,2011,,,,,,,,,,,,,,,,,,,,,,
7_33,21,130.3482238,2011,,,,,,,,,,,,,,,,,,,,,,
7_34,9,132.9933811,2011,,,,,,,,,,,,,,,,,,,,,,
7_35,12,136.4915949,2011,,,,,,,,,,,,,,,,,,,,,,
7_36,14,139.4908314,2011,,,,,,,,,,,,,,,,,,,,,,
7_37,7,142.7721451,2011,,,,,,,,,,,,,,,,,,,,,,
7_38,6,145.2691157,2011,,,,,,,,,,,,,,,,,,,,,,
7_39,6,148.6003337,2011,,,,,,,,,,,,,,,,,,,,,,
8_0,1,27.5188749,2012,,,,,,,,,,,,,,,,,,,,,,
8_1,1,32.43064581,2012,,,,,,,,,,,,,,,,,,,,,,
8_2,0,34.5,2012,,,,,,,,,,,,,,,,,,,,,,
8_3,0,37.5,2012,,,,,,,,,,,,,,,,,,,,,,
8_4,2,40.55828031,2012,,,,,,,,,,,,,,,,,,,,,,
8_5,4,43.96304176,2012,,,,,,,,,,,,,,,,,,,,,,
8_6,1,45.17110227,2012,,,,,,,,,,,,,,,,,,,,,,
8_7,9,49.68988835,2012,,,,,,,,,,,,,,,,,,,,,,
8_8,26,52.58338858,2012,,,,,,,,,,,,,,,,,,,,,,
8_9,41,55.68511558,2012,,,,,,,,,,,,,,,,,,,,,,
8_10,66,58.64615351,2012,,,,,,,,,,,,,,,,,,,,,,
8_11,81,61.52280973,2012,,,,,,,,,,,,,,,,,,,,,,
8_12,109,64.4399376,2012,,,,,,,,,,,,,,,,,,,,,,
8_13,149,67.56663436,2012,,,,,,,,,,,,,,,,,,,,,,
8_14,205,70.53705342,2012,,,,,,,,,,,,,,,,,,,,,,
8_15,200,73.46179101,2012,,,,,,,,,,,,,,,,,,,,,,
8_16,250,76.57157271,2012,,,,,,,,,,,,,,,,,,,,,,
8_17,263,79.50142682,2012,,,,,,,,,,,,,,,,,,,,,,
8_18,298,82.55068708,2012,,,,,,,,,,,,,,,,,,,,,,
8_19,280,85.52903226,2012,,,,,,,,,,,,,,,,,,,,,,
8_20,312,88.52187437,2012,,,,,,,,,,,,,,,,,,,,,,
8_21,315.1254902,91.44871674,2012,,,,,,,,,,,,,,,,,,,,,,
8_22,286,94.47481092,2012,,,,,,,,,,,,,,,,,,,,,,
8_23,265,97.45169323,2012,,,,,,,,,,,,,,,,,,,,,,
8_24,227,100.4600966,2012,,,,,,,,,,,,,,,,,,,,,,
8_25,200,103.4188387,2012,,,,,,,,,,,,,,,,,,,,,,
8_26,145,106.4843395,2012,,,,,,,,,,,,,,,,,,,,,,
8_27,134,109.5088247,2012,,,,,,,,,,,,,,,,,,,,,,
8_28,93,112.3460251,2012,,,,,,,,,,,,,,,,,,,,,,
8_29,80,115.3661286,2012,,,,,,,,,,,,,,,,,,,,,,
8_30,65,118.23213,2012,,,,,,,,,,,,,,,,,,,,,,
8_31,39,121.3999168,2012,,,,,,,,,,,,,,,,,,,,,,
8_32,37,124.5198562,2012,,,,,,,,,,,,,,,,,,,,,,
8_33,26,126.9570388,2012,,,,,,,,,,,,,,,,,,,,,,
8_34,29,130.4072811,2012,,,,,,,,,,,,,,,,,,,,,,
8_35,9,133.4523987,2012,,,,,,,,,,,,,,,,,,,,,,
8_36,15,136.3903296,2012,,,,,,,,,,,,,,,,,,,,,,
8_37,10,139.2158963,2012,,,,,,,,,,,,,,,,,,,,,,
8_38,5,143.6458313,2012,,,,,,,,,,,,,,,,,,,,,,
8_39,3,145.514345,2012,,,,,,,,,,,,,,,,,,,,,,
8_40,1,147.2891439,2012,,,,,,,,,,,,,,,,,,,,,,
9_0,1,27.5188749,2013,,,,,,,,,,,,,,,,,,,,,,
9_1,1,32.67832634,2013,,,,,,,,,,,,,,,,,,,,,,
9_2,0,34.5,2013,,,,,,,,,,,,,,,,,,,,,,
9_3,1,37.52146955,2013,,,,,,,,,,,,,,,,,,,,,,
9_4,6,40.84130839,2013,,,,,,,,,,,,,,,,,,,,,,
9_5,3,43.89917519,2013,,,,,,,,,,,,,,,,,,,,,,
9_6,4,46.25918057,2013,,,,,,,,,,,,,,,,,,,,,,
9_7,12,49.81810743,2013,,,,,,,,,,,,,,,,,,,,,,
9_8,23,52.76988872,2013,,,,,,,,,,,,,,,,,,,,,,
9_9,38,55.65380862,2013,,,,,,,,,,,,,,,,,,,,,,
9_10,64,58.39676077,2013,,,,,,,,,,,,,,,,,,,,,,
9_11,103,61.72248336,2013,,,,,,,,,,,,,,,,,,,,,,
9_12,114,64.52200289,2013,,,,,,,,,,,,,,,,,,,,,,
